content_id,title,votesDifference
1,egestas metus aenean fermentum donec ut mauris eget massa tempor,2
2,vitae nisi nam ultrices,0
3,mauris ullamcorper purus sit amet nulla,4
4,duis consequat dui nec nisi volutpat eleifend donec ut,-3
5,maecenas tincidunt lacus at velit,1
6,porta volutpat erat quisque erat eros viverra eget congue,5
7,mi sit amet lobortis sapien sapien non mi integer,-2
8,tortor risus dapibus augue vel accumsan tellus nisi eu orci,-1
9,morbi a ipsum integer,1
10,luctus et ultrices posuere cubilia curae duis faucibus,1
11,lacus at turpis donec posuere metus vitae ipsum,3
12,libero convallis eget eleifend luctus ultricies eu nibh quisque id,0
13,lacinia aenean sit amet,1
14,erat quisque erat eros,2
15,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla,5
